"id";"area";"country";"year";"month";"day";"depth";"x";"y";"duration";"swept";"category";"n";"kg"
"18ALB2016_PEC730_26";18;"ALB";2016;7;30;294.5;18.8668333333333;41.09575;1;0.11112;"ADV";3;0.37
"18ALB2016_PEC82_2";18;"ALB";2016;8;2;14;19.41425;41.1035833333333;0.5;0.0480594;"ADV";3;0.03
"18ALB2016_PEC82_8";18;"ALB";2016;8;2;60.5;19.3535;41.18725;0.5;0.0511152;"ADV";2;0.12
"18ALB2016_PEC83_1";18;"ALB";2016;8;3;26;19.3994166666667;41.54975;0.5;0.0477307;"ADV";1;0.02
"18ALB2016_PEC83_13";18;"ALB";2016;8;3;85;19.2559166666667;41.3036666666667;0.5;0.0511152;"ADV";7;0.21
"18ALB2016_PEC83_14";18;"ALB";2016;8;3;114;19.1055833333333;41.4144166666667;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC83_4";18;"ALB";2016;8;3;76;19.2795;41.5416666666667;0.5;0.0511152;"ADV";0;0
"18ALB2016_PEC83_6";18;"ALB";2016;8;3;93.5;19.2675;41.4069166666667;0.5;0.0511152;"ADV";3;0.17
"18ALB2016_PEC84_163";18;"ALB";2016;8;4;69.5;19.2545;40.7536666666667;0.5;0.0511152;"ADV";5;0.38
"18ALB2016_PEC84_169";18;"ALB";2016;8;4;525.5;19.0619166666667;40.4828333333333;1;0.1023066;"ADV";1;0.05
"18ALB2016_PEC84_17";18;"ALB";2016;8;4;114.5;19.1560833333333;40.7004166666667;0.5;0.0536154;"ADV";7;0.1
"18ALB2016_PEC84_22";18;"ALB";2016;8;4;167.5;19.15925;40.60475;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC84_23";18;"ALB";2016;8;4;164;19.2083333333333;40.4734166666667;0.5;0.0536154;"ADV";0;0
"18ALB2016_PEC84_31";18;"ALB";2016;8;4;300.5;19.13725;40.4578333333333;1;0.11036;"ADV";1;0.1
"18ALB2016_PEC85_10";18;"ALB";2016;8;5;88;19.204;40.9479166666667;0.5;0.0511152;"ADV";3;0.06
"18ALB2016_PEC85_16";18;"ALB";2016;8;5;103;19.1624166666667;40.8536666666667;0.5;0.0536154;"ADV";1;0.05
"18ALB2016_PEC85_166";18;"ALB";2016;8;5;115;18.9753333333333;41.32525;0.5;0.0536154;"ADV";0;0
