"id";"c_square";"x";"y";"gsa";"depth";"strata";"year";"pred"
19963;"1401:216:226:3";16.625;41.275;18;55.05;"0_200";2017;4478.29924788395
19964;"1401:216:226:1";16.625;41.225;18;30.15;"0_200";2017;8240.50500678027
20163;"1401:226:206:4";16.675;42.075;18;193.8;"0_200";2017;1346.49493814041
20164;"1401:226:206:2";16.675;42.025;18;167.95;"0_200";2017;1331.06743482802
20165;"1401:216:496:4";16.675;41.975;18;148.35001;"0_200";2017;1632.0683008937
20166;"1401:216:496:2";16.675;41.925;18;140.35001;"0_200";2017;2249.49753633699
20167;"1401:216:486:4";16.675;41.875;18;133.2;"0_200";2017;2244.27415915057
20168;"1401:216:486:2";16.675;41.825;18;115.8;"0_200";2017;1616.39816933592
20169;"1401:216:476:4";16.675;41.775;18;109.9;"0_200";2017;1105.38670415857
20170;"1401:216:476:2";16.675;41.725;18;107.1;"0_200";2017;711.239763618362
20171;"1401:216:466:4";16.675;41.675;18;105.6;"0_200";2017;443.648498088378
20172;"1401:216:466:2";16.675;41.625;18;102.1;"0_200";2017;302.612907568295
20173;"1401:216:456:4";16.675;41.575;18;101;"0_200";2017;221.5855428607
20174;"1401:216:456:2";16.675;41.525;18;99.2;"0_200";2017;200.566403965386
20175;"1401:216:246:4";16.675;41.475;18;97.15;"0_200";2017;237.374694375874
20176;"1401:216:246:2";16.675;41.425;18;94.25;"0_200";2017;332.010414091946
20177;"1401:216:236:4";16.675;41.375;18;90.6;"0_200";2017;700.70828716603
20178;"1401:216:236:2";16.675;41.325;18;83.75;"0_200";2017;1343.46831359689
20179;"1401:216:226:4";16.675;41.275;18;67.4;"0_200";2017;7308.19007286965
20180;"1401:216:226:2";16.675;41.225;18;45.15;"0_200";2017;18594.8735649569
20380;"1401:226:207:1";16.725;42.025;18;208.05;"200_800";2017;1218.38570225846
20381;"1401:216:497:3";16.725;41.975;18;175.45;"0_200";2017;2520.1029339513
20382;"1401:216:497:1";16.725;41.925;18;153.60001;"0_200";2017;3243.32738767201
20383;"1401:216:487:3";16.725;41.875;18;144.89999;"0_200";2017;3147.37282466525
20384;"1401:216:487:1";16.725;41.825;18;137;"0_200";2017;2232.23924493299
20385;"1401:216:477:3";16.725;41.775;18;117.35;"0_200";2017;1523.4504531915
20386;"1401:216:477:1";16.725;41.725;18;111.6;"0_200";2017;1021.00644944044
20387;"1401:216:467:3";16.725;41.675;18;111.95;"0_200";2017;655.211233601075
20388;"1401:216:467:1";16.725;41.625;18;108.5;"0_200";2017;426.064805673071
20389;"1401:216:457:3";16.725;41.575;18;106.9;"0_200";2017;285.77783209034
20390;"1401:216:457:1";16.725;41.525;18;106;"0_200";2017;234.350312852572
20391;"1401:216:247:3";16.725;41.475;18;104;"0_200";2017;238.535495292726
20392;"1401:216:247:1";16.725;41.425;18;100.95;"0_200";2017;298.333379410581
20393;"1401:216:237:3";16.725;41.375;18;98.05;"0_200";2017;510.97135105369
20394;"1401:216:237:1";16.725;41.325;18;93.55;"0_200";2017;876.449410221366
20395;"1401:216:227:3";16.725;41.275;18;82.65;"0_200";2017;6975.02595393597
20396;"1401:216:227:1";16.725;41.225;18;59.2;"0_200";2017;18806.7009821681
20397;"1401:216:217:3";16.725;41.175;18;15.7;"0_200";2017;24722.538496269
20597;"1401:216:497:4";16.775;41.975;18;216.10001;"200_800";2017;4159.25537885118
20598;"1401:216:497:2";16.775;41.925;18;188.85001;"0_200";2017;4400.3316110594
20599;"1401:216:487:4";16.775;41.875;18;165.89999;"0_200";2017;3935.55759755857
20600;"1401:216:487:2";16.775;41.825;18;148.75;"0_200";2017;2764.93333835033
20601;"1401:216:477:4";16.775;41.775;18;141.60001;"0_200";2017;1914.18836631693
20602;"1401:216:477:2";16.775;41.725;18;133.39999;"0_200";2017;1383.3226814578
20603;"1401:216:467:4";16.775;41.675;18;125.65;"0_200";2017;948.225884847487
20604;"1401:216:467:2";16.775;41.625;18;117;"0_200";2017;608.897976485814
20605;"1401:216:457:4";16.775;41.575;18;113.25;"0_200";2017;393.750588824916
20606;"1401:216:457:2";16.775;41.525;18;111.7;"0_200";2017;302.783721864356
20607;"1401:216:247:4";16.775;41.475;18;109.85;"0_200";2017;272.710547657646
20608;"1401:216:247:2";16.775;41.425;18;106.85;"0_200";2017;303.531066204537
20609;"1401:216:237:4";16.775;41.375;18;103.75;"0_200";2017;434.261608401748
20610;"1401:216:237:2";16.775;41.325;18;100.45;"0_200";2017;664.902174248831
20611;"1401:216:227:4";16.775;41.275;18;93.8;"0_200";2017;3478.75122083196
20612;"1401:216:227:2";16.775;41.225;18;74.95;"0_200";2017;8875.80874813786
20613;"1401:216:217:4";16.775;41.175;18;37.05;"0_200";2017;11574.3375117839
20814;"1401:216:498:1";16.825;41.925;18;228.95;"200_800";2017;4978.8388135712
20815;"1401:216:488:3";16.825;41.875;18;209.8;"200_800";2017;4167.35853983759
20816;"1401:216:488:1";16.825;41.825;18;184.60001;"0_200";2017;3193.57764109346
20817;"1401:216:478:3";16.825;41.775;18;162.95;"0_200";2017;2041.42506040208
20818;"1401:216:478:1";16.825;41.725;18;146.8;"0_200";2017;1632.61637338216
20819;"1401:216:468:3";16.825;41.675;18;139.8;"0_200";2017;1040.78288738588
20820;"1401:216:468:1";16.825;41.625;18;128.89999;"0_200";2017;744.967669631148
20821;"1401:216:458:3";16.825;41.575;18;125.15;"0_200";2017;536.796533207297
20822;"1401:216:458:1";16.825;41.525;18;118.7;"0_200";2017;416.269478114011
20823;"1401:216:248:3";16.825;41.475;18;114.85;"0_200";2017;348.442863515399
20824;"1401:216:248:1";16.825;41.425;18;112.2;"0_200";2017;333.316689411232
20825;"1401:216:238:3";16.825;41.375;18;109.45;"0_200";2017;388.73219547768
20826;"1401:216:238:1";16.825;41.325;18;106.65;"0_200";2017;514.689381714421
20827;"1401:216:228:3";16.825;41.275;18;101.45;"0_200";2017;1445.88564679093
20828;"1401:216:228:1";16.825;41.225;18;89.8;"0_200";2017;3182.32099070306
20829;"1401:216:218:3";16.825;41.175;18;51.55;"0_200";2017;4050.5386626569
21031;"1401:216:488:4";16.875;41.875;18;287.14999;"200_800";2017;3842.76585906167
21032;"1401:216:488:2";16.875;41.825;18;252.14999;"200_800";2017;3518.17032187012
21033;"1401:216:478:4";16.875;41.775;18;208.35001;"200_800";2017;1905.15589778513
21034;"1401:216:478:2";16.875;41.725;18;176.05;"0_200";2017;1768.8855359995
21035;"1401:216:468:4";16.875;41.675;18;150.7;"0_200";2017;932.878713130933
21036;"1401:216:468:2";16.875;41.625;18;135.39999;"0_200";2017;834.273062064695
21037;"1401:216:458:4";16.875;41.575;18;134.10001;"0_200";2017;714.916282530948
21038;"1401:216:458:2";16.875;41.525;18;128.89999;"0_200";2017;574.808374529741
21039;"1401:216:248:4";16.875;41.475;18;124.6;"0_200";2017;465.73317428018
21040;"1401:216:248:2";16.875;41.425;18;118.75;"0_200";2017;387.690681782111
21041;"1401:216:238:4";16.875;41.375;18;113.85;"0_200";2017;374.383661060068
21042;"1401:216:238:2";16.875;41.325;18;111.95;"0_200";2017;425.812112113746
